Info,Envision,R15.7.2
Info,ProgramName,VK78ABXtp01FSeng01
Info,TimeStamp,Wed Feb 9 17:00:45 2022
Info,Device,VK78A-0B
Info,LotID,DLOG_CHECK
Info,SubLotID,
Info,TesterName,ltxcx002
Info,TesterType,Fusion_CX
Info,Operator,skipall
Info,FabID,
Info,Flow,PST_BUMP
Info,AdapterBoard,VK76_Octal_FS_01
,,
,,
Test#,Minimum,Unit,Maximum,Unit,Test Description
1006330,18,V,26,V,T006.BVDSS_HS_1s
1006340,18,V,26,V,T006.BVDSS_HS_1.5s
1006350,21,V,26,V,T006.BVDSS_HS_3s
1006510,-8.940,mA,-7.030,mA,T006.I_LX_BVDSS_HS
1006530,37,mA,39,mA,T006.I_LX_BVDSS_LS
1007010,-317.962,mV,-129.293,mV,Post_OVST_VXVerify_BothOff_16V
1007030,-18.757,uA,-2.977,uA,Post_OVST_Ipgm1q_BothOff_16V
1007035,1.377,mA,2.408,mA,Post_OVST_Iddq_BothOff_16V
1007040,-37.794,nA,793.023,nA,Post_OVST_Iccq_Nom_BothOff_16V
1007041,-76.587,nA,900.960,nA,Post_OVST_Iccq_1.7V_BothOff_16V
1007042,-58.380,nA,1110.811,nA,Post_OVST_Iccq_1.9V_BothOff_16V
1007045,2.025,uA,40.098,uA,Post_OVST_Iddhq_BothOff_16V
1007050,-0.031,uA,0.940,uA,Post_OVST_Iddhq_rst_BothOff_16V
1007060,-46.420,nA,1032.203,nA,Post_OVST_Ibstq_BothOff_16V
1007070,-0.459,uA,0.574,uA,Post_OVST_Ldoin_BothOff_16V
1007080,-7291.677,nA,6598.776,nA,Post_OVST_VXLeakage0V_BothOff_16V
1007090,-2.183,uA,14.351,uA,Post_OVST_VXLeakageVddh_BothOff_16V
1007110,-25,mV,25,mV,Post_OVST_VXVerify_LSon_16V
1007130,-11.068,uA,-5.666,uA,Post_OVST_Ipgm1q_LSon_16V
1007135,1.377,mA,2.408,mA,Post_OVST_Iddq_LSon_16V
1007140,-0.028,uA,0.678,uA,Post_OVST_Iccq_Nom_LSon_16V
1007141,-0.069,uA,0.646,uA,Post_OVST_Iccq_1.7V_LSon_16V
1007142,-0.541,uA,10.889,uA,Post_OVST_Iccq_1.9V_LSon_16V
1007145,2.011,uA,40.046,uA,Post_OVST_Iddhq_LSon_16V
1007150,-86.331,nA,1131.881,nA,Post_OVST_Iddhq_rst_LSon_16V
1007160,-59.469,nA,982.597,nA,Post_OVST_Ibstq_LSon_16V
1007170,-0.473,uA,0.587,uA,Post_OVST_Ldoin_LSon_16V
1007210,15.900,V,16.100,V,Post_OVST_VXVerify_HSon_16V
1007230,-18.755,uA,-2.977,uA,Post_OVST_Ipgm1q_HSon_16V
1007235,1.152,mA,2.650,mA,Post_OVST_Iddq_HSon_16V
1007240,-0.036,uA,0.741,uA,Post_OVST_Iccq_Nom_HSon_16V
1007241,-0.078,uA,0.903,uA,Post_OVST_Iccq_1.7V_HSon_16V
1007242,-0.064,uA,1.005,uA,Post_OVST_Iccq_1.9V_HSon_16V
1007245,2.049,uA,40.940,uA,Post_OVST_Iddhq_HSon_16V
1007250,-0.056,uA,1.161,uA,Post_OVST_Iddhq_rst_HSon_16V
1007260,-25.005,nA,1242.785,nA,Post_OVST_Ibstq_HSon_16V
1007270,-412.169,nA,523.803,nA,Post_OVST_Ldoin_HSon_16V
1007280,-3.720,uA,39.817,uA,Post_OVST_Iddq_AllOff_16V
1009110,-12.184,mV,21.625,mV,Post_OVST_VXVerify_LSon_12V
1009130,-9.126,uA,-4.744,uA,Post_OVST_Ipgm1q_LSon_12V
1009140,-0.037,uA,0.753,uA,Post_OVST_Iccq_Nom_LSon_12V
1009145,1.693,uA,32.920,uA,Post_OVST_Iddhq_LSon_12V
1009210,11.900,V,12.100,V,Post_OVST_VXVerify_HSon_12V
1009230,-15.468,uA,-2.500,uA,Post_OVST_Ipgm1q_HSon_12V
1009240,-0.040,uA,0.770,uA,Post_OVST_Iccq_Nom_HSon_12V
1009245,1.717,uA,33.332,uA,Post_OVST_Iddhq_HSon_12V
16400010,-8,mV,12,mV,Delta_VXVerify_BothOff
16400030,-0.232,uA,0.260,uA,Delta_Ipgm1q_BothOff
16400035,-0.058,mA,0.047,mA,Delta_Iddq_BothOff
16400040,-40.292,nA,29.139,nA,Delta_Iccq_Nom_BothOff
16400045,-0.243,uA,0.279,uA,Delta_Iddhq_BothOff
16400060,-74.312,nA,87.476,nA,Delta_Ibstq_BothOff
16400070,-0.152,uA,0.152,uA,Delta_Ldoin_BothOff
16400080,-52.200,uA,35.100,uA,Delta_VXLeakage0V_BothOff
16400090,-200,uA,297,uA,Delta_VXLeakageVddh_BothOff
16400110,-12,mV,12,mV,Delta_VXVerify_LSon
16400111,-0.237,uA,0.266,uA,Delta_Ipgm1q_LSon
16400135,-0.058,mA,0.047,mA,Delta_Iddq_LSon
16400140,-0.100,uA,0.100,uA,Delta_Iccq_Nom_LSon
16400145,-29.700,uA,44.500,uA,Delta_Iddhq_LSon
16400160,-200,nA,200,nA,Delta_Ibstq_LSon
16400170,-0.300,uA,0.300,uA,Delta_Ldoin_LSon
16400210,-0.012,V,0.012,V,Delta_VXVerify_HSon
16400211,-0.255,uA,0.283,uA,Delta_Ipgm1q_HSon
16400235,-0.100,mA,0.100,mA,Delta_Iddq_HSon
16400240,-0.100,uA,0.100,uA,Delta_Iccq_Nom_HSon
16400245,-1.211,uA,15.835,uA,Delta_Iddhq_HSon
16400260,-200,nA,200,nA,Delta_Ibstq_HSon
16400270,-300,nA,300,nA,Delta_Ldoin_HSon
16400280,-1.280,uA,1.264,uA,Delta_Iddq_AllOff
1008010,-300,mV,-170,mV,OVST_VXVerify_BothOff
1008030,-14.262,uA,-7.329,uA,OVST_Ipgm1q_BothOff
1008035,1.834,mA,3.460,mA,OVST_Iddq_BothOff
1008040,-7.976,uA,19.589,uA,OVST_Iccq_Nom_BothOff
1008045,1.045,uA,20.989,uA,OVST_Iddhq_BothOff
1008060,73.795,nA,1060.948,nA,OVST_Ibstq_BothOff
1008070,-7.487,uA,-2.360,uA,OVST_Ldoin_BothOff
1008080,-30.077,uA,28.684,uA,OVST_VXLeakage0V_BothOff
1008090,-138.554,uA,144.681,uA,OVST_VXLeakageVddh_BothOff
1008110,-50,mV,50,mV,OVST_VXVerify_LSon
1008130,-13.600,uA,-7.330,uA,OVST_Ipgm1q_LSon
1008135,2.200,mA,3.460,mA,OVST_Iddq_LSon
1008140,1,uA,19.646,uA,OVST_Iccq_Nom_LSon
1008145,9,uA,23.903,uA,OVST_Iddhq_LSon
1008160,274,nA,2961.405,nA,OVST_Ibstq_LSon
1008170,-5.940,uA,-2.485,uA,OVST_Ldoin_LSon
1008210,17.950,V,18.050,V,OVST_VXVerify_HSon
1008230,-13.600,uA,-7.143,uA,OVST_Ipgm1q_HSon
1008235,2.130,mA,3.861,mA,OVST_Iddq_HSon
1008240,0,uA,20.232,uA,OVST_Iccq_Nom_HSon
1008245,5,uA,84.129,uA,OVST_Iddhq_HSon
1008260,-0.068,uA,3.247,uA,OVST_Ibstq_HSon
1008270,-5.950,uA,-2.666,uA,OVST_Ldoin_HSon
1008280,-50,uA,1773.929,uA,OVST_Iddq_AllOff
220020,0,none,0,none,read
220030,0,none,138,none,trimmed
2000000,0,none,0,none,pre
2000001,0,none,0,none,pre
2000002,0,none,0,none,pre
2000003,0,none,0,none,pre
2000004,0,none,0,none,pre
2000005,0,none,0,none,pre
2000006,0,none,0,none,pre
2000007,0,none,0,none,pre
2000008,0,none,0,none,pre
2000009,0,none,0,none,pre
2000010,0,none,0,none,pre
2000011,0,none,0,none,pre
2000012,0,none,0,none,pre
2000013,0,none,0,none,pre
2000014,0,none,0,none,pre
2000015,0,none,0,none,pre
2000016,0,none,0,none,pre
2000017,0,none,255,none,pre
2000018,0,none,255,none,pre
2000019,0,none,255,none,pre
2000020,0,none,255,none,pre
2000021,0,none,0,none,pre
2000022,0,none,0,none,pre
2000023,0,none,0,none,pre
2000024,0,none,0,none,pre
2000025,0,none,0,none,pre
2000026,0,none,0,none,pre
2000027,0,none,0,none,pre
2000028,0,none,0,none,pre
2000029,0,none,0,none,pre
2000030,0,none,0,none,pre
2000031,0,none,0,none,pre
2000032,0,none,0,none,pre
2000033,0,none,0,none,pre
2000034,0,none,0,none,pre
2000035,0,none,0,none,pre
2000036,0,none,0,none,pre
2000037,0,none,0,none,pre
2000038,0,none,0,none,pre
2000039,0,none,0,none,pre
2000040,0,none,0,none,pre
2000041,0,none,0,none,pre
2000042,0,none,0,none,pre
2000043,0,none,0,none,pre
2000044,0,none,0,none,pre
2000045,0,none,0,none,pre
2000046,0,none,0,none,pre
2000047,0,none,0,none,pre
230020,0,none,1,none,trims
240020,0,none,0,none,read
