Info,Envision,R15.7.2
Info,ProgramName,VK78ABAtp01FTCHAR_SS_eng05
Info,TimeStamp,Tue May 3 14:54:54 2022
Info,Device,MAX20810_VK78A-0B
Info,LotID,LIMIT_VERIFY
Info,SubLotID,
Info,TesterName,ltxcx064
Info,TesterType,Fusion_MX20C
Info,Operator,mtarvina
Info,FabID,
Info,Flow,CHAR_ROOM
Info,AdapterBoard,VK76_SS
,,
,,
Test#,Minimum,Unit,Maximum,Unit,Test Description
1612037,465.996,mV,475.410,mV,VoutLevels.241
1612038,467.930,mV,477.383,mV,VoutLevels.242
1612039,469.863,mV,479.355,mV,VoutLevels.243
1612040,471.797,mV,481.328,mV,VoutLevels.244
1612041,473.730,mV,483.301,mV,VoutLevels.245
1612042,475.664,mV,485.273,mV,VoutLevels.246
1612043,477.598,mV,487.246,mV,VoutLevels.247
1612044,479.531,mV,489.219,mV,VoutLevels.248
1612045,481.465,mV,491.191,mV,VoutLevels.249
1612046,483.398,mV,493.164,mV,VoutLevels.250
1612047,485.332,mV,495.137,mV,VoutLevels.251
1612048,487.266,mV,497.109,mV,VoutLevels.252
1612049,489.199,mV,499.082,mV,VoutLevels.253
1612050,491.133,mV,501.055,mV,VoutLevels.254
1612051,493.066,mV,503.027,mV,VoutLevels.255
1612052,495,mV,505,mV,VoutLevels.256
1612053,496.934,mV,506.973,mV,VoutLevels.257
1612054,498.867,mV,508.945,mV,VoutLevels.258
1612055,500.801,mV,510.918,mV,VoutLevels.259
1612056,502.734,mV,512.891,mV,VoutLevels.260
1612057,504.668,mV,514.863,mV,VoutLevels.261
1612058,506.602,mV,516.836,mV,VoutLevels.262
1612059,508.535,mV,518.809,mV,VoutLevels.263
1612060,510.469,mV,520.781,mV,VoutLevels.264
1612061,512.402,mV,522.754,mV,VoutLevels.265
1612062,514.336,mV,524.727,mV,VoutLevels.266
1612063,516.270,mV,526.699,mV,VoutLevels.267
1612064,518.203,mV,528.672,mV,VoutLevels.268
1612065,520.137,mV,530.645,mV,VoutLevels.269
1612066,522.070,mV,532.617,mV,VoutLevels.270
1612067,524.004,mV,534.590,mV,VoutLevels.271
1612068,525.937,mV,536.563,mV,VoutLevels.272
1612069,527.871,mV,538.535,mV,VoutLevels.273
1612070,529.805,mV,540.508,mV,VoutLevels.274
1612071,531.738,mV,542.480,mV,VoutLevels.275
1612072,533.672,mV,544.453,mV,VoutLevels.276
1612073,535.605,mV,546.426,mV,VoutLevels.277
1612074,537.539,mV,548.398,mV,VoutLevels.278
1612075,539.473,mV,550.371,mV,VoutLevels.279
1612076,541.406,mV,552.344,mV,VoutLevels.280
1612077,543.340,mV,554.316,mV,VoutLevels.281
1612078,545.273,mV,556.289,mV,VoutLevels.282
1612079,547.207,mV,558.262,mV,VoutLevels.283
1612080,549.141,mV,560.234,mV,VoutLevels.284
1612081,551.074,mV,562.207,mV,VoutLevels.285
1612082,553.008,mV,564.180,mV,VoutLevels.286
1612083,554.941,mV,566.152,mV,VoutLevels.287
1612084,556.875,mV,568.125,mV,VoutLevels.288
1612085,558.809,mV,570.098,mV,VoutLevels.289
1612086,560.742,mV,572.070,mV,VoutLevels.290
1612087,562.676,mV,574.043,mV,VoutLevels.291
1612088,564.609,mV,576.016,mV,VoutLevels.292
1612089,566.543,mV,577.988,mV,VoutLevels.293
1612090,568.477,mV,579.961,mV,VoutLevels.294
1612091,570.410,mV,581.934,mV,VoutLevels.295
1612092,572.344,mV,583.906,mV,VoutLevels.296
1612093,574.277,mV,585.879,mV,VoutLevels.297
1612094,576.211,mV,587.852,mV,VoutLevels.298
1612095,578.145,mV,589.824,mV,VoutLevels.299
1612096,580.078,mV,591.797,mV,VoutLevels.300
1612097,582.012,mV,593.770,mV,VoutLevels.301
1612098,583.945,mV,595.742,mV,VoutLevels.302
1612099,585.879,mV,597.715,mV,VoutLevels.303
1612100,587.812,mV,599.688,mV,VoutLevels.304
1612101,589.746,mV,601.660,mV,VoutLevels.305
1612102,591.680,mV,603.633,mV,VoutLevels.306
1612103,593.613,mV,605.605,mV,VoutLevels.307
1612104,595.547,mV,607.578,mV,VoutLevels.308
1612105,597.480,mV,609.551,mV,VoutLevels.309
1612106,599.414,mV,611.523,mV,VoutLevels.310
1612107,601.348,mV,613.496,mV,VoutLevels.311
1612108,603.281,mV,615.469,mV,VoutLevels.312
1612109,605.215,mV,617.441,mV,VoutLevels.313
1612110,607.148,mV,619.414,mV,VoutLevels.314
1612111,609.082,mV,621.387,mV,VoutLevels.315
1612112,611.016,mV,623.359,mV,VoutLevels.316
1612113,612.949,mV,625.332,mV,VoutLevels.317
1612114,614.883,mV,627.305,mV,VoutLevels.318
1612115,616.816,mV,629.277,mV,VoutLevels.319
1612116,618.750,mV,631.250,mV,VoutLevels.320
1612117,620.684,mV,633.223,mV,VoutLevels.321
1612118,622.617,mV,635.195,mV,VoutLevels.322
1612119,624.551,mV,637.168,mV,VoutLevels.323
1612120,626.484,mV,639.141,mV,VoutLevels.324
1612121,628.418,mV,641.113,mV,VoutLevels.325
1612122,630.352,mV,643.086,mV,VoutLevels.326
1612123,632.285,mV,645.059,mV,VoutLevels.327
1612124,634.219,mV,647.031,mV,VoutLevels.328
1612125,636.152,mV,649.004,mV,VoutLevels.329
1612126,638.086,mV,650.977,mV,VoutLevels.330
1612127,640.020,mV,652.949,mV,VoutLevels.331
1612128,641.953,mV,654.922,mV,VoutLevels.332
1612129,643.887,mV,656.895,mV,VoutLevels.333
1612130,645.820,mV,658.867,mV,VoutLevels.334
1612131,647.754,mV,660.840,mV,VoutLevels.335
1612132,649.688,mV,662.812,mV,VoutLevels.336
1612133,651.621,mV,664.785,mV,VoutLevels.337
