Info,Envision,R15.7.2
Info,ProgramName,VK78ABAtp01FTCHAR_SS_eng01
Info,TimeStamp,Mon Feb 21 18:57:37 2022
Info,Device,MAX20810_VK78A-0B
Info,LotID,DLOG_CHECK
Info,SubLotID,
Info,TesterName,ltxcx064
Info,TesterType,Fusion_MX20C
Info,Operator,skipall
Info,FabID,
Info,Flow,CHAR_ROOM_QFN
Info,AdapterBoard,VK76_SS
,,
,,
Test#,Minimum,Unit,Maximum,Unit,Test Description
2100046,128,none,255,none,post
2100047,94,none,255,none,post
250010,0,none,0,none,failure
250020,0,none,5,none,failure
250030,,,,,Coordinate
250040,,,,,Coordinate
250050,,,,,ID
250060,,,,,1=Yes)
250070,,,,,Number
1100040,1206.900,mV,1210.300,mV,post
1100140,1248.800,mV,1251.200,mV,post
1101040,9.900,uA,10.100,uA,I_0ppm_trim_post
1102040,358.500,KHz,392.500,KHz,Osc_trim_post
1110040,1.400,KOhm,1.830,KOhm,RPH_trim_post
1220050,7.550,KOhm,8.100,KOhm,AFE_RPH_trim_post
1250040,1445,mV,1455,mV,SAR_VREFP_trim_post
1240040,195,mV,205,mV,SAR_VREFM_trim_post
1260040,862,mV,934,mV,SAR_VCM_trim_post
1516200,-13.500,uA,-4,uA,SAR_ADC_IDRV
1260050,11.650,V,12.350,V,AFE_ADC_VDDH
1201070,498,mV,502,mV,T201.A1_OFFSET_0p5_post
1201170,498,mV,502,mV,T201.A1_SNSN_neg150mV
1201110,498,mV,502,mV,T201.A1_SNSN_neg100mV
1201150,498,mV,502,mV,T201.A1_SNSN_neg50mV
1201160,498,mV,502,mV,T201.A1_SNSN_pos50mV
1201130,498,mV,502,mV,T201.A1_SNSN_pos100mV
1201180,498,mV,502,mV,T201.A1_SNSN_pos150mV
1201080,696.420,mV,702.020,mV,T201.A1_OFFSET_0p7_post
1203070,498,mV,502,mV,T120.Vout_offset_post
1203170,498,mV,502,mV,T120.Vout_SNSN_neg150mV
1203110,498,mV,502,mV,T120.Vout_SNSN_neg100mV
1203150,498,mV,502,mV,T120.Vout_SNSN_neg50mV
1203160,498,mV,502,mV,T120.Vout_SNSN_pos50mV
1203130,498,mV,502,mV,T120.Vout_SNSN_pos100mV
1203180,498,mV,502,mV,T120.Vout_SNSN_pos150mV
1203210,398.790,mV,401.990,mV,T120.Vout_0p4V_SNSN_neg100mV
1203220,398.790,mV,401.990,mV,T120.Vout_0p4V_SNSN_pos100mV
1203230,597.210,mV,602.010,mV,T120.Vout_0p6V_SNSN_neg100mV
1203240,597.210,mV,602.010,mV,T120.Vout_0p6V_SNSN_pos100mV
1203250,696.420,mV,705,mV,T120.Vout_0p7V_SNSN_neg100mV
1203260,696.420,mV,705,mV,T120.Vout_0p7V_SNSN_pos100mV
1203270,795.630,mV,805,mV,T120.Vout_0p8V_SNSN_neg100mV
1203280,795.630,mV,805,mV,T120.Vout_0p8V_SNSN_pos100mV
1612001,396.387,mV,404.395,mV,VoutLevels.205
1612002,398.320,mV,406.367,mV,VoutLevels.206
1612003,400.254,mV,408.340,mV,VoutLevels.207
1612004,402.187,mV,410.313,mV,VoutLevels.208
1612005,404.121,mV,412.285,mV,VoutLevels.209
1612006,406.055,mV,414.258,mV,VoutLevels.210
1612007,407.988,mV,416.230,mV,VoutLevels.211
1612008,409.922,mV,418.203,mV,VoutLevels.212
1612009,411.855,mV,420.176,mV,VoutLevels.213
1612010,413.789,mV,422.148,mV,VoutLevels.214
1612011,415.723,mV,424.121,mV,VoutLevels.215
1612012,417.656,mV,426.094,mV,VoutLevels.216
1612013,419.590,mV,428.066,mV,VoutLevels.217
1612014,421.523,mV,430.039,mV,VoutLevels.218
1612015,423.457,mV,432.012,mV,VoutLevels.219
1612016,425.391,mV,433.984,mV,VoutLevels.220
1612017,427.324,mV,435.957,mV,VoutLevels.221
1612018,429.258,mV,437.930,mV,VoutLevels.222
1612019,431.191,mV,439.902,mV,VoutLevels.223
1612020,433.125,mV,441.875,mV,VoutLevels.224
1612021,435.059,mV,443.848,mV,VoutLevels.225
1612022,436.992,mV,445.820,mV,VoutLevels.226
1612023,438.926,mV,447.793,mV,VoutLevels.227
1612024,440.859,mV,449.766,mV,VoutLevels.228
1612025,442.793,mV,451.738,mV,VoutLevels.229
1612026,444.727,mV,453.711,mV,VoutLevels.230
1612027,446.660,mV,455.684,mV,VoutLevels.231
1612028,448.594,mV,457.656,mV,VoutLevels.232
1612029,450.527,mV,459.629,mV,VoutLevels.233
1612030,452.461,mV,461.602,mV,VoutLevels.234
1612031,454.395,mV,463.574,mV,VoutLevels.235
1612032,456.328,mV,465.547,mV,VoutLevels.236
1612033,458.262,mV,467.520,mV,VoutLevels.237
1612034,460.195,mV,469.492,mV,VoutLevels.238
1612035,462.129,mV,471.465,mV,VoutLevels.239
1612036,464.063,mV,473.437,mV,VoutLevels.240
1612037,465.996,mV,475.410,mV,VoutLevels.241
1612038,467.930,mV,477.383,mV,VoutLevels.242
1612039,469.863,mV,479.355,mV,VoutLevels.243
1612040,471.797,mV,481.328,mV,VoutLevels.244
1612041,473.730,mV,483.301,mV,VoutLevels.245
1612042,475.664,mV,485.273,mV,VoutLevels.246
1612043,477.598,mV,487.246,mV,VoutLevels.247
1612044,479.531,mV,489.219,mV,VoutLevels.248
1612045,481.465,mV,491.191,mV,VoutLevels.249
1612046,483.398,mV,493.164,mV,VoutLevels.250
1612047,485.332,mV,495.137,mV,VoutLevels.251
1612048,487.266,mV,497.109,mV,VoutLevels.252
1612049,489.199,mV,499.082,mV,VoutLevels.253
1612050,491.133,mV,501.055,mV,VoutLevels.254
1612051,493.066,mV,503.027,mV,VoutLevels.255
1612052,495,mV,505,mV,VoutLevels.256
1612053,496.934,mV,506.973,mV,VoutLevels.257
1612054,498.867,mV,508.945,mV,VoutLevels.258
1612055,500.801,mV,510.918,mV,VoutLevels.259
1612056,502.734,mV,512.891,mV,VoutLevels.260
1612057,504.668,mV,514.863,mV,VoutLevels.261
1612058,506.602,mV,516.836,mV,VoutLevels.262
1612059,508.535,mV,518.809,mV,VoutLevels.263
1612060,510.469,mV,520.781,mV,VoutLevels.264
1612061,512.402,mV,522.754,mV,VoutLevels.265
1612062,514.336,mV,524.727,mV,VoutLevels.266
1612063,516.270,mV,526.699,mV,VoutLevels.267
1612064,518.203,mV,528.672,mV,VoutLevels.268
1612065,520.137,mV,530.645,mV,VoutLevels.269
1612066,522.070,mV,532.617,mV,VoutLevels.270
1612067,524.004,mV,534.590,mV,VoutLevels.271
1612068,525.937,mV,536.563,mV,VoutLevels.272
1612069,527.871,mV,538.535,mV,VoutLevels.273
1612070,529.805,mV,540.508,mV,VoutLevels.274
1612071,531.738,mV,542.480,mV,VoutLevels.275
1612072,533.672,mV,544.453,mV,VoutLevels.276
1612073,535.605,mV,546.426,mV,VoutLevels.277
1612074,537.539,mV,548.398,mV,VoutLevels.278
1612075,539.473,mV,550.371,mV,VoutLevels.279
1612076,541.406,mV,552.344,mV,VoutLevels.280
1612077,543.340,mV,554.316,mV,VoutLevels.281
1612078,545.273,mV,556.289,mV,VoutLevels.282
1612079,547.207,mV,558.262,mV,VoutLevels.283
1612080,549.141,mV,560.234,mV,VoutLevels.284
1612081,551.074,mV,562.207,mV,VoutLevels.285
1612082,553.008,mV,564.180,mV,VoutLevels.286
1612083,554.941,mV,566.152,mV,VoutLevels.287
1612084,556.875,mV,568.125,mV,VoutLevels.288
1612085,558.809,mV,570.098,mV,VoutLevels.289
1612086,560.742,mV,572.070,mV,VoutLevels.290
1612087,562.676,mV,574.043,mV,VoutLevels.291
1612088,564.609,mV,576.016,mV,VoutLevels.292
1612089,566.543,mV,577.988,mV,VoutLevels.293
1612090,568.477,mV,579.961,mV,VoutLevels.294
1612091,570.410,mV,581.934,mV,VoutLevels.295
1612092,572.344,mV,583.906,mV,VoutLevels.296
1612093,574.277,mV,585.879,mV,VoutLevels.297
1612094,576.211,mV,587.852,mV,VoutLevels.298
1612095,578.145,mV,589.824,mV,VoutLevels.299
1612096,580.078,mV,591.797,mV,VoutLevels.300
1612097,582.012,mV,593.770,mV,VoutLevels.301
1612098,583.945,mV,595.742,mV,VoutLevels.302
1612099,585.879,mV,597.715,mV,VoutLevels.303
1612100,587.812,mV,599.688,mV,VoutLevels.304
1612101,589.746,mV,601.660,mV,VoutLevels.305
1612102,591.680,mV,603.633,mV,VoutLevels.306
1612103,593.613,mV,605.605,mV,VoutLevels.307
1612104,595.547,mV,607.578,mV,VoutLevels.308
1612105,597.480,mV,609.551,mV,VoutLevels.309
1612106,599.414,mV,611.523,mV,VoutLevels.310
1612107,601.348,mV,613.496,mV,VoutLevels.311
1612108,603.281,mV,615.469,mV,VoutLevels.312
1612109,605.215,mV,617.441,mV,VoutLevels.313
1612110,607.148,mV,619.414,mV,VoutLevels.314
1612111,609.082,mV,621.387,mV,VoutLevels.315
1612112,611.016,mV,623.359,mV,VoutLevels.316
1612113,612.949,mV,625.332,mV,VoutLevels.317
1612114,614.883,mV,627.305,mV,VoutLevels.318
1612115,616.816,mV,629.277,mV,VoutLevels.319
1612116,618.750,mV,631.250,mV,VoutLevels.320
1612117,620.684,mV,633.223,mV,VoutLevels.321
1612118,622.617,mV,635.195,mV,VoutLevels.322
1612119,624.551,mV,637.168,mV,VoutLevels.323
1612120,626.484,mV,639.141,mV,VoutLevels.324
1612121,628.418,mV,641.113,mV,VoutLevels.325
1612122,630.352,mV,643.086,mV,VoutLevels.326
1612123,632.285,mV,645.059,mV,VoutLevels.327
1612124,634.219,mV,647.031,mV,VoutLevels.328
1612125,636.152,mV,649.004,mV,VoutLevels.329
1612126,638.086,mV,650.977,mV,VoutLevels.330
1612127,640.020,mV,652.949,mV,VoutLevels.331
1612128,641.953,mV,654.922,mV,VoutLevels.332
1612129,643.887,mV,656.895,mV,VoutLevels.333
1612130,645.820,mV,658.867,mV,VoutLevels.334
1612131,647.754,mV,660.840,mV,VoutLevels.335
1612132,649.688,mV,662.812,mV,VoutLevels.336
1612133,651.621,mV,664.785,mV,VoutLevels.337
1612134,653.555,mV,666.758,mV,VoutLevels.338
1612135,655.488,mV,668.730,mV,VoutLevels.339
1612136,657.422,mV,670.703,mV,VoutLevels.340
1612137,659.355,mV,672.676,mV,VoutLevels.341
1612138,661.289,mV,674.648,mV,VoutLevels.342
1612139,663.223,mV,676.621,mV,VoutLevels.343
1612140,665.156,mV,678.594,mV,VoutLevels.344
1612141,667.090,mV,680.566,mV,VoutLevels.345
1612142,669.023,mV,682.539,mV,VoutLevels.346
1612143,670.957,mV,684.512,mV,VoutLevels.347
1612144,672.891,mV,686.484,mV,VoutLevels.348
1612145,674.824,mV,688.457,mV,VoutLevels.349
1612146,676.758,mV,690.430,mV,VoutLevels.350
1612147,678.691,mV,692.402,mV,VoutLevels.351
1612148,680.625,mV,694.375,mV,VoutLevels.352
1612149,682.559,mV,696.348,mV,VoutLevels.353
1612150,684.492,mV,698.320,mV,VoutLevels.354
1612151,686.426,mV,700.293,mV,VoutLevels.355
1612152,688.359,mV,702.266,mV,VoutLevels.356
1612153,690.293,mV,704.238,mV,VoutLevels.357
1612154,692.227,mV,706.211,mV,VoutLevels.358
1612155,694.160,mV,708.184,mV,VoutLevels.359
1612156,696.094,mV,710.156,mV,VoutLevels.360
1612157,698.027,mV,712.129,mV,VoutLevels.361
1612158,699.961,mV,714.102,mV,VoutLevels.362
1612159,701.895,mV,716.074,mV,VoutLevels.363
1612160,703.828,mV,718.047,mV,VoutLevels.364
1612161,705.762,mV,720.020,mV,VoutLevels.365
1612162,707.695,mV,721.992,mV,VoutLevels.366
1612163,709.629,mV,723.965,mV,VoutLevels.367
1612164,711.563,mV,725.937,mV,VoutLevels.368
1612165,713.496,mV,727.910,mV,VoutLevels.369
1612166,715.430,mV,729.883,mV,VoutLevels.370
1612167,717.363,mV,731.855,mV,VoutLevels.371
1612168,719.297,mV,733.828,mV,VoutLevels.372
1612169,721.230,mV,735.801,mV,VoutLevels.373
1612170,723.164,mV,737.773,mV,VoutLevels.374
1612171,725.098,mV,739.746,mV,VoutLevels.375
1612172,727.031,mV,741.719,mV,VoutLevels.376
1612173,728.965,mV,743.691,mV,VoutLevels.377
1612174,730.898,mV,745.664,mV,VoutLevels.378
1612175,732.832,mV,747.637,mV,VoutLevels.379
1612176,734.766,mV,749.609,mV,VoutLevels.380
1612177,736.699,mV,751.582,mV,VoutLevels.381
