Test#,DlogMin,DlogUnit,LGMin,LGUnit,CompareMin,,DlogMax,DlogUnit,LGMax,LGUnit,CompareMax
2000044,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000045,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000046,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000047,0.0,none,0.0,one,,,255.0,none,255.0,one,
230020,0.0,none,0.0,one,,,1.0,none,1.0,one,
240020,0.0,none,0.0,one,,,0.0,none,0.0,one,
240050,1.0,none,1.0,none,,,1.0,none,1.0,none,
240060,1.0,none,1.0,none,,,1.0,none,1.0,none,
240070,1.0,none,1.0,none,,,1.0,none,1.0,none,
2100000,0.0,none,0.0,one,,,255.0,none,255.0,one,
2100001,128.0,none,128.0,one,,,255.0,none,255.0,one,
2100002,0.0,none,0.0,one,,,255.0,none,255.0,one,
2100003,64.0,none,0.0,one,X,,255.0,none,255.0,one,
2100004,0.0,none,0.0,one,,,255.0,none,255.0,one,
2100005,203.0,none,203.0,one,,,255.0,none,255.0,one,
2100006,84.0,none,84.0,one,,,255.0,none,255.0,one,
2100007,0.0,none,0.0,one,,,255.0,none,255.0,one,
2100008,0.0,none,0.0,one,,,255.0,none,255.0,one,
2100009,0.0,none,0.0,one,,,255.0,none,255.0,one,
2100010,0.0,none,0.0,one,,,255.0,none,255.0,one,
2100011,128.0,none,0.0,one,X,,255.0,none,255.0,one,
2100012,128.0,none,0.0,one,X,,255.0,none,255.0,one,
2100013,0.0,none,0.0,one,,,255.0,none,255.0,one,
2100014,0.0,none,0.0,one,,,255.0,none,255.0,one,
2100015,0.0,none,0.0,one,,,255.0,none,255.0,one,
2100016,0.0,none,0.0,one,,,255.0,none,255.0,one,
2100017,0.0,none,0.0,one,,,255.0,none,255.0,one,
2100018,0.0,none,0.0,one,,,255.0,none,255.0,one,
2100019,0.0,none,0.0,one,,,255.0,none,255.0,one,
2100020,0.0,none,0.0,one,,,255.0,none,255.0,one,
2100021,15.0,none,0.0,one,X,,255.0,none,255.0,one,
2100022,44.0,none,0.0,one,X,,255.0,none,255.0,one,
2100023,15.0,none,0.0,one,X,,255.0,none,255.0,one,
2100024,60.0,none,0.0,one,X,,255.0,none,255.0,one,
2100025,159.0,none,0.0,one,X,,255.0,none,255.0,one,
2100026,61.0,none,0.0,one,X,,255.0,none,255.0,one,
2100027,159.0,none,0.0,one,X,,255.0,none,255.0,one,
2100028,77.0,none,0.0,one,X,,255.0,none,255.0,one,
2100029,159.0,none,0.0,one,X,,255.0,none,255.0,one,
2100030,93.0,none,0.0,one,X,,255.0,none,255.0,one,
2100031,159.0,none,9.0,one,X,,255.0,none,255.0,one,
2100032,125.0,none,0.0,one,X,,255.0,none,255.0,one,
2100033,32.0,none,160.0,one,X,,255.0,none,255.0,one,
2100034,160.0,none,160.0,one,,,255.0,none,255.0,one,
2100035,10.0,none,10.0,one,,,255.0,none,255.0,one,
2100036,62.0,none,62.0,one,,,255.0,none,255.0,one,
2100037,2.0,none,2.0,one,,,255.0,none,255.0,one,
2100038,144.0,none,144.0,one,,,255.0,none,255.0,one,
2100039,10.0,none,75.0,one,X,,255.0,none,255.0,one,
2100040,71.0,none,71.0,one,,,255.0,none,255.0,one,
2100041,72.0,none,64.0,one,X,,255.0,none,255.0,one,
2100042,2.0,none,2.0,one,,,255.0,none,255.0,one,
2100043,160.0,none,160.0,one,,,255.0,none,255.0,one,
2100044,192.0,none,0.0,one,X,,255.0,none,255.0,one,
2100045,0.0,none,0.0,one,,,255.0,none,255.0,one,
2100046,128.0,none,0.0,one,X,,255.0,none,255.0,one,
2100047,94.0,none,62.0,one,X,,255.0,none,255.0,one,
250010,0.0,none,0.0,one,,,0.0,none,0.0,one,
250020,0.0,none,0.0,one,,,5.0,none,5.0,one,
250030,nan,nan,-3.4028199999999998e+38,one,,,nan,nan,3.4028230000000003e+38,one,
250040,nan,nan,-3.4028199999999998e+38,one,,,nan,nan,3.4028230000000003e+38,one,
250050,nan,nan,-3.4028199999999998e+38,one,,,nan,nan,3.4028230000000003e+38,one,
250060,nan,nan,-3.4028199999999998e+38,one,,,nan,nan,3.4028230000000003e+38,one,
250070,nan,nan,-3.4028199999999998e+38,one,,,nan,nan,3.4028230000000003e+38,one,
1100040,1207.28,mV,1207.28,mV,,,1210.22,mV,1210.22,mV,
1100140,1248.5,mV,1248.5,mV,,,1251.5,mV,1251.5,mV,
1100142,nan,nan,1248.5,mV,,,nan,nan,1251.5,mV,
1100141,nan,nan,1248.5,mV,,,nan,nan,1251.5,mV,
1101040,9.97,uA,9.97,uA,,,10.03,uA,10.03,uA,
1101060,9.96,uA,9.96,uA,,,10.04,uA,10.04,uA,
1101050,9.96,uA,9.96,uA,,,10.04,uA,10.04,uA,
1102040,360.0,KHz,360.0,kHZ,,,390.5,KHz,390.5,kHZ,
1102060,358.5,KHz,358.5,kHz,,,391.5,KHz,391.5,kHz,
1102050,358.5,KHz,358.5,kHz,,,391.5,KHz,391.5,kHz,
1110040,1.456,KOhm,1.456,kOhms,X,,1.74,KOhm,1.74,kOhms,X
1220050,7.62,KOhm,7.62,kOhm,,,8.03,KOhm,8.03,kOhm,
1250040,1448.0,mV,1448.0,mV,,,1452.0,mV,1452.0,mV,
1240040,199.1,mV,199.1,mV,,,200.9,mV,200.9,mV,
1260040,862.0,mV,862.0,mV,,,934.0,mV,934.0,mV,
1516200,-13.5,uA,-13.5,uA,,,-4.0,uA,-4.0,uA,
1260050,11.65,V,11.65,V,,,12.35,V,12.35,V,
1201070,498.0,mV,498.0,mV,,,502.0,mV,502.0,mV,
1201170,495.0,mV,495.0,mV,,,505.0,mV,505.0,mV,
1201110,495.0,mV,495.0,mV,,,505.0,mV,505.0,mV,
1201150,495.0,mV,495.0,mV,,,505.0,mV,505.0,mV,
1201160,495.0,mV,495.0,mV,,,505.0,mV,505.0,mV,
1201130,495.0,mV,495.0,mV,,,505.0,mV,505.0,mV,
1201180,495.0,mV,495.0,mV,,,505.0,mV,505.0,mV,
1203070,498.0,mV,498.0,mV,,,502.0,mV,502.0,mV,
1201080,697.2,mV,697.2,mV,,,702.8,mV,702.8,mV,
1203170,495.0,mV,495.0,mV,,,505.0,mV,505.0,mV,
1203110,498.0,mV,498.0,mV,,,502.0,mV,502.0,mV,
1203150,498.0,mV,498.0,mV,,,502.0,mV,502.0,mV,
